APRTMENT_LOCATION,APRTMENT_RENT,APRTMENT_DESPOSIT,APRTMENT_MAINTENANCE,APARTMENT_SQFT,RENT_TYPE,APARTMENT_FURNISHING,APRTMENT_TYPE,PREFERRED_TENANTS,APRTMENT_AVAILABLE_FROM
Vihang Hills for Rent  In Thane West,"19,000","₹1,14,000",No Extra Maintenance,800 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Parshwanarh Galaxy for Rent  In Thane West,"20,000","₹2,00,000","+₹ 4,000Maintenance","1,000 sqft",Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Sahyog Cooperative Houing Society for Rent  In Thane West,"10,000","₹40,000",No Extra Maintenance,350 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
Harmony Horizons for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,980 sqft,Non-Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Vasant Vasant Vihar for Rent  In Mumbai,"19,000","₹90,000",No Extra Maintenance,528 sqft,Negotiable,Semi Furnished,1 BHK,Family,29-Oct-2023
Haware Citi for Rent  In Thane West,"9,000","₹30,000",No Extra Maintenance,330 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
Aakanksha Garden for Rent  In Manpada,"20,000","₹80,000",No Extra Maintenance,615 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Ashar Enclave for Rent  In Thane West,"30,000","₹1,50,000",No Extra Maintenance,950 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Rishima Chsl for Rent  In Brahmand,"26,000","₹1,00,000",No Extra Maintenance,880 sqft,Negotiable,Fully Furnished,2 BHK,Family,29-Oct-2023
Puraniks Rumah Bali for Rent  In Thane West,"19,998","₹1,00,000",No Extra Maintenance,700 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Unnathi Woods Phase 1 And 2 for Rent  In Ghodbunder Road,"24,000","₹1,00,000",No Extra Maintenance,804 sqft,Non-Negotiable,Fully Furnished,2 BHK,All,Ready to Move
Jeevan Tara Society for Rent  In Thane West,"45,000","₹3,00,000","+₹ 5,000Maintenance",530 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
"Saket Complex, Thane West for Rent  In Thane West","15,500","₹75,000",No Extra Maintenance,575 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
"Natasha Enclave Vartak Nagar, Vartak Nagar for Rent  In Vartak Nagar","26,000","₹1,25,000",No Extra Maintenance,725 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
The Rutu Estate for Rent  In Thane West,"16,000","₹50,000",No Extra Maintenance,565 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Thane West,"5,000","₹20,000",No Extra Maintenance,144 sqft,Non-Negotiable,Fully Furnished,1 RK,Bachelor,Ready to Move
"Omkar Apartment, for Rent  In Kisan Nagar Road, Thane West","6,000","₹30,000",No Extra Maintenance,235 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
Vihang Valley Phase 1 for Rent  In Thane West,"14,000","₹50,000",No Extra Maintenance,565 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,06-Nov-2023
Rna Ng Regency for Rent  In Thane West,"14,000","₹65,000",No Extra Maintenance,585 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Hiranandani Buttercup for Rent  In Thane West,"48,000","₹2,40,000",No Extra Maintenance,995 sqft,Non-Negotiable,Fully Furnished,2 BHK,Family,20-Oct-2023
Akash Ganga Chs for Rent  In Uthalsar,"20,000","₹50,000",No Extra Maintenance,600 sqft,Negotiable,Semi Furnished,1 BHK,Company,Ready to Move
Jasmine Plaza for Rent  In Thane West,"13,000","₹30,000",No Extra Maintenance,290 sqft,Non-Negotiable,Semi Furnished,1 RK,All,29-Oct-2023
Unnathi Woods Phase 5 for Rent  In Mumbai,"14,500","₹70,000",No Extra Maintenance,450 sqft,Non-Negotiable,Semi Furnished,1 BHK,Bachelor,01-Dec-2023
"Vijay Orovia, Thane West for Rent  In Thane West","16,000","₹40,000",No Extra Maintenance,478 sqft,Negotiable,Unfurnished,1 BHK,"Family, Company, Female",Ready to Move
Rajaram Sukur Sapphire for Rent  In Kasarvadavali,"15,000","₹30,000",No Extra Maintenance,419 sqft,Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Shree Gokul Dham  for Rent  In Thane West,"22,000","₹1,00,000",No Extra Maintenance,550 sqft,Negotiable,Fully Furnished,1 BHK,Bachelor,Ready to Move
Eden Woods Complex for Rent  In Manpada,"32,000","₹1,25,000",No Extra Maintenance,850 sqft,Negotiable,Fully Furnished,2 BHK,All,Ready to Move
Sheetalniwas Chs for Rent  In Thane West,"45,000","₹2,00,000",No Extra Maintenance,780 sqft,Negotiable,Fully Furnished,2 BHK,Family,15-Nov-2023
"Sunita Co-operative Housing Society for Rent  In Thane East,","17,500","₹60,000",No Extra Maintenance,500 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Saket Towers for Rent  In Thane West,"17,000","₹1,00,000",No Extra Maintenance,570 sqft,Negotiable,Unfurnished,1 BHK,All,31-Oct-2023
"Vihang Valley, Thane West for Rent  In Thane West","20,000","₹60,000",No Extra Maintenance,833 sqft,Negotiable,Unfurnished,2 BHK,All,01-Dec-2023
Shree Ganesh Krupa Chs Khale Compound  for Rent  In Thane West,"9,500","₹45,000",No Extra Maintenance,180 sqft,Negotiable,Semi Furnished,1 RK,Family,01-Nov-2023
Morar Ashish for Rent  In Thane West,"28,000","₹1,00,000",No Extra Maintenance,550 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
"Hirabai Amarsing Bldg  for Rent  In Shanti Nagar, Shree Nagar, Thane West, Thane, Maharashtra, India","5,800","₹20,000",No Extra Maintenance,170 sqft,Non-Negotiable,Semi Furnished,1 RK,All,Ready to Move
"Sparta Serita for Rent  In Hiranandani Estate, Thane West","45,000","₹2,50,000",No Extra Maintenance,"1,200 sqft",Negotiable,Fully Furnished,3 BHK,Company,22-Oct-2023
" Akashganga Complex, Thane West for Rent  In Thane West","18,000","₹85,000",No Extra Maintenance,575 sqft,Negotiable,Semi Furnished,1 BHK,Family,10-Nov-2023
Kalpataru Siddhachal 8 for Rent  In Thane West,"40,000","₹1,75,000",No Extra Maintenance,"1,170 sqft",Negotiable,Semi Furnished,2 BHK,All,16-Nov-2023
"Brahmand Nayak Society Beside Dosti Sales Office for Rent  In Brahmand, Thane West","15,000","₹1,00,000",No Extra Maintenance,400 sqft,Non-Negotiable,Fully Furnished,1 BHK,"Male, Family, Company",01-Nov-2023
Srushti Complex Building No 2 for Rent  In Thane West,"26,000","₹1,00,000",No Extra Maintenance,937 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Green Square C1c2c3 Residency  for Rent  In D Mart,"18,000","₹75,000",No Extra Maintenance,667 sqft,Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Navneet Co Op Hsg Society for Rent  In Thane West,"8,500","₹60,000",No Extra Maintenance,325 sqft,Negotiable,Unfurnished,1 RK,Family,05-Dec-2023
"Rutu Estate, Mumbai for Rent  In Thane West","20,000","₹70,000",No Extra Maintenance,565 sqft,Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
Shiv Kripa Housing Society for Rent  In Manpada,"25,000","₹50,000",No Extra Maintenance,800 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
